VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone2	1670628449550	4.23691e-06	8.97928e-06	8.26924	0.904083	-1.29446e-08	2.73847e-08	0.427356	
Drone1	1670628449550	1.88258e-06	2.28028e-06	-1.24862	0.904083	-8.24012e-09	1.74322e-08	0.427356	
Drone4	1670628449550	8.99742e-06	8.92656e-06	13.6786	0.904083	-1.08923e-08	3.65836e-08	0.427356	
Drone3	1670628449601	8.97433e-06	8.93886e-06	17.4451	0.904083	-2.79831e-09	3.38418e-08	0.427356	
Drone2	1670628449601	4.18224e-06	8.91273e-06	7.98331	0.904083	-1.10058e-08	2.3283e-08	0.427356	
Drone1	1670628449601	1.8632e-06	2.25669e-06	-1.53413	0.904083	-1.00649e-08	2.12926e-08	0.427356	
Drone4	1670628449601	8.93376e-06	8.85502e-06	13.3925	0.904083	-6.98464e-09	3.46671e-08	0.427356	
Drone3	1670628449652	8.91216e-06	8.87641e-06	17.1524	0.904083	-4.50977e-09	3.42873e-08	0.427356	
Drone2	1670628449652	4.12651e-06	8.84489e-06	7.691	0.904083	-9.06692e-09	1.91813e-08	0.427356	
Drone1	1670628449652	1.84291e-06	2.23198e-06	-1.82602	0.904083	-9.0955e-09	1.92417e-08	0.427356	
Drone4	1670628449652	8.8683e-06	8.78213e-06	13.0999	0.904083	-3.07702e-09	3.27505e-08	0.427356	
Drone3	1670628449703	8.84816e-06	8.8128e-06	16.8537	0.904083	-6.22122e-09	3.47329e-08	0.427356	
Drone2	1670628449703	4.06993e-06	8.77601e-06	7.3928	0.904083	-7.12805e-09	1.50796e-08	0.427356	
